Agency,2017,2018,2019,2020,2021
Bronx Community Board # 1,,0.009177552721199245,0.20148713539524965,0.013542792168487194,-0.13216161458304265
Bronx Community Board # 10,,0.009261432183642171,0.18292303510432384,0.012264605400855944,-0.13130415280938212
Bronx Community Board # 11,,0.0009998310630272567,0.19557827229548908,0.015916548312845835,-0.1347065629182641
Bronx Community Board # 12,,0.0024324686416692387,0.2260924768097965,0.0233064343063083,-0.15264189821210417
Bronx Community Board # 2,,0.09728493936553928,0.1131701888110983,0.017101071868678597,-0.02111408291328054
Bronx Community Board # 3,,0.008697748977734232,0.18534031413612562,0.01616806608114718,-0.1282565186278456
Bronx Community Board # 4,,0.0,0.22008948600113976,0.011660803137816034,-0.1869306386016386
Bronx Community Board # 5,,-0.020438033794916488,0.2064033323038139,0.015637595269973437,-0.19002817074126177
Bronx Community Board # 6,,-0.013395926389890622,0.23279366938707446,0.015674633449390463,-0.16292115649881866
Bronx Community Board # 7,,0.0017138160971763572,0.16440160749720678,0.012304519676920478,-0.1324228431738702
Bronx Community Board # 8,,0.00867317297875192,0.1824960807034286,0.007360909363399504,-0.1303723370774944
Bronx Community Board # 9,,0.05760291352397995,0.1848708670004462,0.11472767030367947,0.10657792678960143
Brooklyn Community Board # 1,,0.0009317818786280796,0.17722405846272604,0.011010175319683624,-0.02495005900259717
Brooklyn Community Board # 10,,0.015362045543362957,0.1793622526124794,0.008622364273522365,-0.12172524125746631
Brooklyn Community Board # 11,,0.07192975010786462,0.181012269837447,0.016099294346390458,-0.12387519279463555
Brooklyn Community Board # 12,,0.015431687751672474,0.17305476539154485,0.04631879876170886,-0.1378879617380686
Brooklyn Community Board # 13,,0.0010726346207203807,0.1854176595651189,0.013866275837094877,-0.09454115926540485
Brooklyn Community Board # 14,,0.02814991592992344,0.15741097029653806,0.009625232587444854,-0.14564434577553054
Brooklyn Community Board # 15,,0.0,0.23279366938707446,0.015674633449390463,-0.1626343535324566
Brooklyn Community Board # 16,,0.002477279226880791,0.20544692013011545,0.016965457468028466,-0.15348442217433744
Brooklyn Community Board # 17,,0.03355023216207975,0.21095863153902106,-0.01968164313222076,-0.09280734560044412
Brooklyn Community Board # 18,,0.0,0.23279167895756125,0.015674524735925788,-0.16263324296825388
Brooklyn Community Board # 2,,0.0074053864442451545,0.2620420164816033,0.015403266261635462,-0.12368428997631375
Brooklyn Community Board # 3,,0.04059125815578257,0.21503232160692476,-0.018435481523132125,-0.12851194249457687
Brooklyn Community Board # 4,,0.0145218961058875,0.20463874852720432,0.013242615901404742,-0.14800326457096225
Brooklyn Community Board # 5,,0.0,0.23279366938707446,0.015674633449390463,-0.15736264186503868
Brooklyn Community Board # 6,,0.0010086834488203245,0.21194065518271432,0.004229545693553494,-0.15497668330197167
Brooklyn Community Board # 7,,0.04212104746620837,0.24030055252191707,0.006582720684081611,-0.19440631434454358
Brooklyn Community Board # 8,,0.008096568065980358,0.18263533486997163,0.01292452025116786,-0.1280771174971056
Brooklyn Community Board # 9,,-0.13477638062828168,0.17063830543412584,0.01816530426884655,-0.10972843089263218
Manhattan Community Board # 1,,-0.02923214991866141,0.09698656467397138,0.03506587358941582,-0.11528802672423977
Manhattan Community Board # 10,,0.057397121184972866,0.15286940804338012,0.017750754517305012,-0.018131971289240156
Manhattan Community Board # 11,,0.017664647466187455,0.11844621174292702,0.020011542503089785,-0.07288177662007689
Manhattan Community Board # 12,,-0.34020703132050145,0.1075483803583952,0.012227925294246988,-0.07115478461470215
Manhattan Community Board # 2,,-0.10546118874981769,0.21909691611694382,-0.03064183039428381,-0.1118069651927448
Manhattan Community Board # 3,,-0.07286923048988636,0.13143285390488724,0.0014978455488139364,-0.08463190594047998
Manhattan Community Board # 4,,0.02661231575194911,0.2797209976447854,0.08098051522115624,-0.1202953688727657
Manhattan Community Board # 5,,0.005488491466889789,0.17590863449104277,0.07006847237961478,-0.15221822810236219
Manhattan Community Board # 6,,0.02849640881770643,0.220049332415454,0.01916494945653624,-0.09728735313004389
Manhattan Community Board # 7,,0.016952347402607426,0.16343106481636216,0.02601310057354178,-0.04853071448208446
Manhattan Community Board # 8,,0.002152447322953943,0.18002234507734083,-0.047034289119061046,-0.09754656137450801
Manhattan Community Board # 9,,-0.03657331649416895,0.1461349211049081,0.014537478041127594,-0.11647599690730714
Queens Community Board # 1,,-0.006981108072005582,0.19554487949395472,0.025817150174534342,-0.10389484900082524
Queens Community Board # 10,,0.0003149037951215572,0.1925331163892967,0.012585014845156506,-0.12097015143970236
Queens Community Board # 11,,0.03260479647275982,0.17257137443153114,0.018277163242055305,-0.13233563185556074
Queens Community Board # 12,,0.015093137814887525,0.18401407754243215,0.024476370423281546,-0.13094548623801627
Queens Community Board # 13,,0.018364185606687844,0.20384073418361814,0.018260016147088498,-0.14080779082208617
Queens Community Board # 14,,0.000589174395621006,0.21831063498394965,0.013183578524611717,-0.1374265226356446
Queens Community Board # 2,,-0.013055565110526746,0.17371012509030082,0.013103442690659994,-0.10994401677631493
Queens Community Board # 3,,0.0,0.21342971104734065,0.018783078620211002,-0.10753530654156485
Queens Community Board # 4,,0.031115624797424246,0.25998728668524773,0.011725506719297396,-0.1315544328213446
Queens Community Board # 5,,-0.009686920475619032,0.20495252362803207,0.02176046123279818,-0.13670836999150027
Queens Community Board # 6,,0.008333736932050195,0.18694227635303196,0.013030257483437557,-0.13104613207331828
Queens Community Board # 7,,0.003266482228411638,0.16927928792272628,0.04841890171436747,-0.11944206008583691
Queens Community Board # 8,,0.04994884952015988,0.16610835305216587,0.0007427114804627877,-0.12148368440164659
Queens Community Board # 9,,0.0005153463380840329,0.23002161650960917,0.01588189662865802,-0.161100130082949
Staten Island Community Board # 1,,0.0017217970661393966,0.18674185165684398,0.014475081506416076,-0.12582671211232
Staten Island Community Board # 2,,0.0004164931278634043,0.18621234441384327,0.013558671250217369,-0.13623529829587488
Staten Island Community Board # 3,,0.0010214802708381487,0.16608647482433891,0.015464201062116878,-0.11414262534440012
