Agency,2017,2018,2019,2020,2021
Bronx Community Board # 1,291581,294257,353546,358334,310976
Bronx Community Board # 10,302545,305347,361202,365632,317623
Bronx Community Board # 11,290049,290339,347123,352648,305144
Bronx Community Board # 12,238852,239433,293567,300409,254554
Bronx Community Board # 2,281688,309092,344072,349956,342567
Bronx Community Board # 3,294444,297005,352052,357744,311861
Bronx Community Board # 4,247413,247413,301866,305386,248300
Bronx Community Board # 5,244593,239594,289047,293567,237781
Bronx Community Board # 6,237087,233911,288364,292884,245167
Bronx Community Board # 7,299332,299845,349140,353436,306633
Bronx Community Board # 8,290897,293420,346968,349522,303954
Bronx Community Board # 9,286114,302595,358536,399670,442266
Brooklyn Community Board # 1,308012,308299,362937,366933,357778
Brooklyn Community Board # 10,322418,327371,386089,389418,342016
Brooklyn Community Board # 11,282762,303101,357966,363729,318672
Brooklyn Community Board # 12,315390,320257,375679,393080,338879
Brooklyn Community Board # 13,295534,295851,350707,355570,321954
Brooklyn Community Board # 14,313429,322252,372978,376568,321723
Brooklyn Community Board # 15,233911,233911,288364,292884,245251
Brooklyn Community Board # 16,269247,269914,325367,330887,280101
Brooklyn Community Board # 17,311205,321646,389500,381834,346397
Brooklyn Community Board # 18,233913,233913,288366,292886,245253
Brooklyn Community Board # 2,282227,284317,358820,364347,319283
Brooklyn Community Board # 3,277104,288352,350357,343898,299703
Brooklyn Community Board # 4,286946,291113,350686,355330,302740
Brooklyn Community Board # 5,233911,233911,288364,292884,246795
Brooklyn Community Board # 6,250822,251075,304288,305575,258218
Brooklyn Community Board # 7,237411,247411,306864,308884,248835
Brooklyn Community Board # 8,304697,307164,363263,367958,320831
Brooklyn Community Board # 9,390239,337644,395259,402439,358280
Manhattan Community Board # 1,422309,409964,449725,465495,411829
Manhattan Community Board # 10,334860,354080,408208,415454,407921
Manhattan Community Board # 11,322735,328436,367338,374689,347381
Manhattan Community Board # 12,609473,402126,445374,450820,418742
Manhattan Community Board # 2,404509,361849,441129,427612,379802
Manhattan Community Board # 3,413055,382956,433289,433938,397213
Manhattan Community Board # 4,322595,331180,423818,458139,403027
Manhattan Community Board # 5,317938,319683,375918,402258,341027
Manhattan Community Board # 6,450548,463387,565355,576190,520134
Manhattan Community Board # 7,323613,329099,382884,392844,373779
Manhattan Community Board # 8,414412,415304,490068,467018,421462
Manhattan Community Board # 9,385609,371506,425796,431986,381670
Queens Community Board # 1,314420,312225,373279,382916,343133
Queens Community Board # 10,282626,282715,337147,341390,300092
Queens Community Board # 11,306642,316640,371283,378069,328037
Queens Community Board # 12,288873,293233,347192,355690,309114
Queens Community Board # 13,271779,276770,333187,339271,291499
Queens Community Board # 14,263080,263235,320702,324930,280276
Queens Community Board # 2,319787,315612,370437,375291,334030
Queens Community Board # 3,332442,332442,403395,410972,366778
Queens Community Board # 4,277674,286314,360752,364982,316967
Queens Community Board # 5,275010,272346,328164,335305,289466
Queens Community Board # 6,289066,291475,345964,350472,304544
Queens Community Board # 7,322059,323111,377807,396100,348789
Queens Community Board # 8,307915,323295,376997,377277,331444
Queens Community Board # 9,236734,236856,291338,295965,248285
Staten Island Community Board # 1,293879,294385,349359,354416,309821
Staten Island Community Board # 2,280917,281034,333366,337886,291854
Staten Island Community Board # 3,342640,342990,399956,406141,359783
