Accrued Expense,Adopted,Agency,CBnum,Budget Code,Budget Name,Cash Expense,Department,Encumbered,Expense Category,Modified,Post Adjustments,Pre-Encumbered,Year
0,338562,Manhattan Community Board # 12,112,4000,RENT,372062,RENT,0,RENTALS - LAND BLDGS & STRUCTS,372062,0,0,2017
0,223804,Manhattan Community Board # 2,102,1000,CONVERSION NAME,215493.74,PERSONAL SERVICES,0,FULL YEAR POSITIONS,223804,0,0,2017
0,229437,Manhattan Community Board # 3,103,1000,CONVERSION NAME,216535.98,PERSONAL SERVICES,0,FULL YEAR POSITIONS,219228,0,0,2017
0,220124,Brooklyn Community Board # 17,317,1000,CONVERSION NAME,205088.94,PERSONAL SERVICES,0,FULL YEAR POSITIONS,218354,0,0,2017
0,212500,Brooklyn Community Board # 18,318,1000,CONVERSION NAME,215525.9,PERSONAL SERVICES,0,FULL YEAR POSITIONS,215500,0,0,2017
0,218485,Bronx Community Board # 3,203,1000,CONVERSION NAME,211170.65,PERSONAL SERVICES,0,FULL YEAR POSITIONS,215485,0,0,2017
0,202657,Manhattan Community Board # 1,101,1000,CONVERSION NAME,215897.16,PERSONAL SERVICES,0,FULL YEAR POSITIONS,214657,0,0,2017
0,213630,Bronx Community Board # 1,201,1000,CONVERSION NAME,205883.02,PERSONAL SERVICES,0,FULL YEAR POSITIONS,213630,0,0,2017
0,221829,Brooklyn Community Board # 2,302,1000,CONVERSION NAME,206051.78,PERSONAL SERVICES,0,FULL YEAR POSITIONS,212229,0,0,2017
0,210315,Brooklyn Community Board # 1,301,1000,OPERATIONS,181013.17,PERSONAL SERVICES,0,FULL YEAR POSITIONS,212190,0,0,2017
0,230912,Brooklyn Community Board # 7,307,1000,CONVERSION NAME,205116.41,PERSONAL SERVICES,0,FULL YEAR POSITIONS,211882,0,0,2017
0,200328,Queens Community Board # 4,404,1000,CONVERSION NAME,209040.75,PERSONAL SERVICES,0,FULL YEAR POSITIONS,210682,0,0,2017
0,207089,Brooklyn Community Board # 16,316,1000,CONVERSION NAME,147640.17,PERSONAL SERVICES,0,FULL YEAR POSITIONS,207089,0,0,2017
0,219655,Manhattan Community Board # 5,105,1000,CONVERSION NAME,206382.11,PERSONAL SERVICES,0,FULL YEAR POSITIONS,206655,0,0,2017
